index,current_price,make,model,year,title_status,mileage
177,27305,chevrolet,door,2016,clean vehicle,28844.0
178,15290,ford,door,2017,clean vehicle,66582.0
179,26500,ford,door,2015,clean vehicle,61436.0
180,25502,chevrolet,door,2016,clean vehicle,58303.0
181,7320,ford,mpv,2017,clean vehicle,55618.0
182,3800,chevrolet,van,2009,clean vehicle,261648.0
183,24502,chevrolet,door,2016,clean vehicle,33045.0
184,4140,ford,door,2017,clean vehicle,40747.0
185,1400,dodge,pk,2002,clean vehicle,185460.0
186,18402,cadillac,srx,2016,clean vehicle,26667.0
187,4160,ford,door,2017,clean vehicle,37176.0
189,24503,chevrolet,colorado,2016,clean vehicle,18006.0
190,15840,ford,door,2017,clean vehicle,72445.0
191,20500,ford,door,2014,clean vehicle,123355.0
192,21003,chevrolet,1500,2016,clean vehicle,44116.0
193,4200,ford,door,2017,clean vehicle,60219.0
194,17400,ford,door,2011,clean vehicle,135077.0
195,32001,chevrolet,door,2016,clean vehicle,32058.0
196,0,ford,mpv,2017,clean vehicle,76858.0
197,15700,ford,cab,2011,clean vehicle,309564.0
198,31009,chevrolet,door,2016,clean vehicle,33928.0
199,3740,ford,wagon,2017,clean vehicle,90618.0
200,5000,dodge,pickup,2001,clean vehicle,109360.0
201,31002,chevrolet,door,2016,clean vehicle,71809.0
202,3160,ford,doors,2017,clean vehicle,31563.0
203,8600,dodge,pickup,2005,clean vehicle,219823.0
204,6000,chevrolet,malibu,2018,clean vehicle,42090.0
205,12990,ford,door,2017,clean vehicle,126523.0
207,13200,buick,encore,2017,clean vehicle,60171.0
208,4410,ford,wagon,2017,clean vehicle,209915.0
210,22500,chevrolet,camaro,2020,clean vehicle,13826.0
211,7420,ford,mpv,2017,clean vehicle,55854.0
212,13500,ford,door,2016,clean vehicle,45757.0
213,15500,chevrolet,trax,2020,clean vehicle,16545.0
214,3540,ford,door,2017,clean vehicle,112893.0
215,17000,ford,door,2016,clean vehicle,126802.0
216,45500,chevrolet,tahoe,2020,clean vehicle,13303.0
217,4130,ford,door,2017,clean vehicle,34061.0
218,15700,ford,door,2015,clean vehicle,70251.0
219,45500,chevrolet,tahoe,2020,clean vehicle,13679.0
220,4130,ford,doors,2017,clean vehicle,42426.0
221,15500,dodge,door,2012,clean vehicle,66452.0
222,16300,chevrolet,trax,2020,clean vehicle,18221.0
223,4530,ford,mpv,2017,clean vehicle,41455.0
224,15600,dodge,door,2011,clean vehicle,35275.0
225,45500,chevrolet,tahoe,2020,clean vehicle,13885.0
226,4100,ford,door,2017,clean vehicle,38815.0
227,18200,dodge,door,2011,clean vehicle,162281.0
228,10200,chevrolet,door,2013,clean vehicle,56479.0
229,4080,ford,doors,2017,clean vehicle,61027.0
230,5700,ford,van,2014,clean vehicle,178703.0
231,10200,chevrolet,3500,2014,clean vehicle,173469.0
232,5000,ford,door,2017,clean vehicle,37321.0
233,1700,ford,door,2014,clean vehicle,112789.0
234,6200,bmw,door,2011,clean vehicle,80394.0
235,3650,ford,door,2016,clean vehicle,68142.0
236,10500,dodge,door,2014,clean vehicle,74203.0
237,43500,chevrolet,2500,2018,clean vehicle,57604.0
238,4610,dodge,van,2016,clean vehicle,87229.0
239,3450,ford,door,2012,clean vehicle,90711.0
240,38500,chevrolet,suburban,2018,clean vehicle,11135.0
241,6810,ford,mpv,2016,clean vehicle,66781.0
242,2900,ford,cargo,2011,clean vehicle,190994.0
243,43500,chevrolet,2500,2018,clean vehicle,56007.0
244,4450,ford,mpv,2016,clean vehicle,32486.0
245,5800,ford,door,2011,clean vehicle,195908.0
246,16500,chevrolet,equinox,2018,clean vehicle,18020.0
247,4240,dodge,mpv,2016,clean vehicle,83262.0
248,26500,ford,pickup,2008,clean vehicle,62015.0
249,13700,chevrolet,equinox,2017,clean vehicle,36421.0
250,8600,ford,door,2016,clean vehicle,73321.0
251,8000,ford,chassis,2008,clean vehicle,132379.0
252,14200,chevrolet,equinox,2017,clean vehicle,28013.0
253,7040,ford,mpv,2016,clean vehicle,33291.0
254,4700,ford,chassis,2005,clean vehicle,225236.0
255,30851,chevrolet,door,2016,clean vehicle,43176.0
256,4880,ford,mpv,2016,clean vehicle,36876.0
257,14500,dodge,pickup,2006,clean vehicle,111782.0
258,7600,chevrolet,door,2017,clean vehicle,110489.0
259,13270,ford,door,2016,clean vehicle,84035.0
260,12800,ford,door,2012,clean vehicle,131101.0
261,33000,chevrolet,1500,2018,clean vehicle,52521.0
262,9280,ford,door,2016,clean vehicle,101380.0
263,900,ford,van,2003,clean vehicle,142027.0
